ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
protopanotakana-make-1-1,protopanotakana-make-1,**ʔa-,1,false,expert,,,false,expert
protopanoan-make-1-1,protopanoan-make-1,*ʔa-,1,false,expert,,,false,expert
prototakana-make-1-1,prototakana-make-1,*a-,1,false,expert,,,false,expert
protopanotakana-transsuffix-1-1,protopanotakana-transsuffix-1,**-a,1,false,expert,,,false,expert
protopanoan-transsuffix-1-1,protopanoan-transsuffix-1,*-a,1,false,expert,,,false,expert
prototakana-transsuffix-1-1,prototakana-transsuffix-1,*-a,1,false,expert,,,false,expert
protopanotakana-big-1-1,protopanotakana-big-1,**ʔaNi,2,false,expert,,,false,expert
protopanoan-big-1-1,protopanoan-big-1,*ʔani,2,false,expert,,,false,expert
prototakana-big-1-1,prototakana-big-1,*ari,2,false,expert,,,false,expert
protopanotakana-fishpoison-1-1,protopanotakana-fishpoison-1,**ʔas̥a,3,false,expert,,,false,expert
protopanoan-fishpoison-1-1,protopanoan-fishpoison-1,*ʔaš̥a,3,false,expert,,,false,expert
protopanoan-fishpoison-2-1,protopanoan-fishpoison-2,*ʔaš̥a-n-,3,false,expert,,,false,expert
prototakana-fishpoison-1-1,prototakana-fishpoison-1,*ac̥a,3,false,expert,,,false,expert
protopanotakana-tapir-1-1,protopanotakana-tapir-1,**ʔawada,4,false,expert,,,false,expert
protopanoan-tapir-1-1,protopanoan-tapir-1,*ʔawara,4,false,expert,,,false,expert
prototakana-tapir-1-1,prototakana-tapir-1,*awada,4,false,expert,,,false,expert
protopanotakana-woman-1-1,protopanotakana-woman-1,**ʔawen{i/ɨ},5,false,expert,,,false,expert
protopanoan-woman-1-1,protopanoan-woman-1,*ʔawini,5,false,expert,,,false,expert
protopanoan-woman-2-1,protopanoan-woman-2,*ʔawi̹-bo,5,false,expert,,,false,expert
prototakana-woman-1-1,prototakana-woman-1,*wane,5,false,expert,,,false,expert
protopanotakana-porcupine-1-1,protopanotakana-porcupine-1,**ʔija,6,false,expert,,,false,expert
prototakana-porcupine-1-1,prototakana-porcupine-1,*ija,6,false,expert,,,false,expert
protopanotakana-warm-1-1,protopanotakana-warm-1,**ʔij{i/ɨ}-,7,false,expert,,,false,expert
protopanoan-warm-1-1,protopanoan-warm-1,*ʔici-sa,7,false,expert,,,false,expert
prototakana-warm-1-1,prototakana-warm-1,*ije-,7,false,expert,,,false,expert
prototakana-warm-2-1,prototakana-warm-2,*ije-ti,7,false,expert,,,false,expert
protopanotakana-dog-1-1,protopanotakana-dog-1,**ʔina,8,false,expert,,,false,expert
protopanoan-dog-1-1,protopanoan-dog-1,*ʔina,8,false,expert,,,false,expert
