ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Dataset
eseejja-dust-1,,eseejja,dust,meši-hahi,meši-hahi,m e ʃ i + h a h i,None,,1,,,,1 2,m e ʃ i ( - - ) + h a h i,,blumpanotacana
eseejja-mud-1,,eseejja,mud,wašapa,wašapa,w a ʃ a p a,None,,2,,,,3,w a ʃ a p a,,blumpanotacana
eseejja-sand-1,,eseejja,sand,meši-hahi,meši-hahi,m e ʃ i + h a h i,None,,1,,,,897 2,m e ʃ i - - + h a h i,,blumpanotacana
eseejja-plain-1,,eseejja,plain,haha-haha,haha-haha,h a h a + h a h a,None,,3,,,,4 5,h a h a + h a h a,,blumpanotacana
eseejja-water-1,,eseejja,water,ena,ena,n a,None,,4,,,,6,n a - - -,,blumpanotacana
eseejja-springorwell-1,,eseejja,springorwell,xani,xani,x a n i,None,,6,,,,8,x a n i,,blumpanotacana
eseejja-springorwell-2,,eseejja,springorwell,čixoko,čixoko,tʃ i x o k o,None,,7,,,,9,tʃ i x o k o,,blumpanotacana
eseejja-springorwell-3,,eseejja,springorwell,eteoxi,eteoxi,t eo x i,None,,8,,,,10,t eo x ( i ),,blumpanotacana
eseejja-forest-1,,eseejja,forest,eɓio,eɓio,ɓ i o,None,,9,,,,11,ɓ i o,,blumpanotacana
eseejja-tree-1,,eseejja,tree,akʷi,akʷi,a kʷ i,None,,10,,,,286,a kʷ i - -,,blumpanotacana
eseejja-sky-1,,eseejja,sky,eya,eya,j a,None,,11,,,,13,j a,,blumpanotacana
eseejja-star-1,,eseejja,star,mahameta,mahameta,m a h a m e t a,None,,14,,,,16,m a h a m e t a,,blumpanotacana
eseejja-lightning-1,,eseejja,lightning,poxexi,poxexi,p o x e x i,None,,15,,,,17,p o x e x i,,blumpanotacana
eseejja-thunder-1,,eseejja,thunder,kʷehi,kʷehi,kʷ e h i,None,,16,,,,18,kʷ e h i,,blumpanotacana
eseejja-thunder-2,,eseejja,thunder,kʷehe,kʷehe,kʷ e h !e/i,None,,16,,,,18,kʷ e h !e/i,,blumpanotacana
eseejja-rainbow-1,,eseejja,rainbow,sihiani,sihiani,s i h i a n i,None,,17,,,,19,s i h i a n i,,blumpanotacana
eseejja-lightradiation-1,,eseejja,lightradiation,heahaʔa-,heahaʔa-,h e a h a ʔ a,None,,18,,,,20,h e a h a ʔ a,,blumpanotacana
eseejja-darkness-1,,eseejja,darkness,-apo,-apo,a p o,None,,19,,,,21,a p o,,blumpanotacana
eseejja-shade-1,,eseejja,shade,e-šawa,e-šawa,ʃ a w a,None,,20,,,,22,ʃ a w a ( - ),,blumpanotacana
eseejja-shade-2,,eseejja,shade,e-axaɲa,e-axaɲa,a x a ɲ a,None,,21,,,,23,a x a ɲ a,,blumpanotacana
eseejja-dew-1,,eseejja,dew,mahametana,mahametana,m a h a m e t a n a,None,,22,,,,24,m a h a m e t a n a,,blumpanotacana
eseejja-dew-2,,eseejja,dew,eši'o,eši'o,ʃ i o,None,,23,,,,25,ʃ i o,,blumpanotacana
eseejja-wind-1,,eseejja,wind,ɓeni,ɓeni,ɓ e n i,None,,24,,,,26,ɓ e n i,,blumpanotacana
eseejja-cloud-1,,eseejja,cloud,ɓo,ɓo,ɓ o,None,,25,,,,27,ɓ o ( - - ),,blumpanotacana
eseejja-cloud-2,,eseejja,cloud,-haʔa,-haʔa,h a ʔ a,None,,26,,,,28,h a ʔ a,,blumpanotacana
