ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID
above,above,1741,ABOVE,"§214_oliveiraprotopanoan, 55_girardprototakanan"
acompanar,accompany,1542,ACCOMPANY,342_girardprototakanan
achiote,achiote,349,ACHIOTE,"§227_oliveiraprotopanoan, 258_girardprototakanan, 67_girardprotopanotakanan"
adamsapple,adam's apple,802,ADAM'S APPLE,§457_oliveiraprotopanoan
despues,after,1685,AFTER,396_girardprototakanan
afternoon,afternoon,1807,AFTERNOON,§497_oliveiraprotopanoan
cutiaspeciesofrodent,agouti,313,AGOUTI,§223_oliveiraprotopanoan
alcoholfermenteddrink,alcohol (fermented drink),404,ALCOHOL (FERMENTED DRINK),
all,all,98,ALL,
alligator,alligator,1581,ALLIGATOR,270_girardprototakanan
animal,animal,619,ANIMAL,§501_oliveiraprotopanoan
ankle,ankle,803,ANKLE,§345_oliveiraprotopanoan
avisar,announce,9,ANNOUNCE,243_girardprototakanan
ant,ant,587,ANT,"163_girardprototakanan, 27_girardprotopanotakanan"
anteater,anteater,181,ANTEATER,§392_oliveiraprotopanoan
approach,approach,1778,APPROACH,
arm,arm,1673,ARM,"§348_oliveiraprotopanoan, 29_girardprototakanan, 87_girardprotopanotakanan"
armpit,armpit,1886,ARMPIT,306_girardprototakanan
arrive,arrive,1387,ARRIVE,§296_oliveiraprotopanoan
arrow,arrow,977,ARROW,"§328_oliveiraprotopanoan, 348_girardprototakanan, 84_girardprotopanotakanan"
ash,ash,646,ASH,"§198_oliveiraprotopanoan, 298_girardprototakanan"
tobeashamedtofeelashamed,ashamed,1894,ASHAMED,§353_oliveiraprotopanoan
askinquire,ask (inquire),1309,ASK (INQUIRE),§505_oliveiraprotopanoan
askrequest,ask (request),1828,ASK (REQUEST),40_girardprototakanan
tia,aunt,1272,AUNT,314_girardprototakanan
autoridad,authority,1637,AUTHORITY,467_girardprototakanan
axe,axe,677,AXE,§495_oliveiraprotopanoan
baby,baby,1289,BABY,
back,back,1291,BACK,"§160_oliveiraprotopanoan, 29_girardprototakanan"
backpart,back (part),2323,BACK (PART),§127_oliveiraprotopanoan
bad,bad,1292,BAD,68_girardprotopanotakanan
bambu,bamboo,1927,BAMBOO,340_girardprototakanan
plantadeplatano,banana tree,1795,BANANA TREE,200_girardprototakanan
bark,bark,1204,BARK,
basket,basket,1539,BASKET,194_girardprototakanan
bat,bat,1793,BAT,"§193_oliveiraprotopanoan, 69_girardprototakanan"
bathe,bathe,138,BATHE,"§262_oliveiraprotopanoan, 305_girardprototakanan"
vivo,be alive,1422,BE ALIVE,159_girardprototakanan
beborn,be born,1090,BE BORN,
besilent,be silent,48,BE SILENT,
beard,beard,678,BEARD,"§158_oliveiraprotopanoan, 243_girardprototakanan"
because,because,1157,BECAUSE,
becomeangry,become angry,2215,BECOME ANGRY,
bee,bee,665,BEE,22_girardprototakanan
beewax,beeswax,1931,BEESWAX,§101_oliveiraprotopanoan
behind,behind,1686,BEHIND,421_girardprototakanan
creer,believe,1890,BELIEVE,210_girardprototakanan
belly,belly,1251,BELLY,"256_girardprototakanan, 432_girardprototakanan"
beloworunder,below or under,1485,BELOW OR UNDER,§257_oliveiraprotopanoan
belt,belt,772,BELT,
bend,bend,2004,BEND,
between,between,689,BETWEEN,
beverage,beverage,731,BEVERAGE,
big,big,1202,BIG,"§12_oliveiraprotopanoan, 2_girardprotopanotakanan, 13_girardprotopanotakanan"
bird,bird,937,BIRD,
bite,bite,1403,BITE,"§264_oliveiraprotopanoan, 119_girardprototakanan"
bitter,bitter,887,BITTER,332_girardprototakanan
black,black,163,BLACK,"§488_oliveiraprotopanoan, 499_girardprototakanan"
blanket,blanket,806,BLANKET,
blood,blood,946,BLOOD,"§140_oliveiraprotopanoan, 11_girardprototakanan, 48_girardprotopanotakanan"
bloom,bloom,3287,BLOOM,
blowofwind,blow (of wind),175,BLOW (OF WIND),479_girardprototakanan
blowgun,blowgun,432,BLOWGUN,§453_oliveiraprotopanoan
blue,blue,837,BLUE,
azulverde,blue or green,2382,BLUE OR GREEN,494_girardprototakanan
body,body,1480,BODY,254_girardprototakanan
toboil,boil (of liquid),792,BOIL (OF LIQUID),§187_oliveiraprotopanoan
boilsomething,boil (something),2492,BOIL (SOMETHING),
bone,bone,1394,BONE,"§398_oliveiraprotopanoan, 96_girardprototakanan, 93_girardprotopanotakanan, 100_girardprotopanotakanan"
bow,bow,994,BOW,§168_oliveiraprotopanoan
boy,boy,1366,BOY,
brain,brain,1583,BRAIN,
branchoftree,branch,1531,BRANCH,§321_oliveiraprotopanoan
ramagajo,branch or twig,3223,BRANCH OR TWIG,484_girardprototakanan
brave,brave,3,BRAVE,§381_oliveiraprotopanoan
cedrelaodorata,brazilian cedar,3929,BRAZILIAN CEDAR,§199_oliveiraprotopanoan
breakdestroyorgetdestroyed,break (destroy or get destroyed),680,BREAK (DESTROY OR GET DESTROYED),§452_oliveiraprotopanoan
breast,breast,1402,BREAST,6_girardprototakanan
breastsmilk,breast or milk,2129,BREAST OR MILK,§429_oliveiraprotopanoan
breathe,breathe,1407,BREATHE,§300_oliveiraprotopanoan
bridge,bridge,1011,BRIDGE,§443_oliveiraprotopanoan
bright,bright,679,BRIGHT,
bring,bring,692,BRING,"53_girardprototakanan, 24_girardprotopanotakanan"
hermano,brother,1262,BROTHER,320_girardprototakanan
cunado,brother-in-law,2314,BROTHER-IN-LAW,178_girardprototakanan
racimo,bunch,1966,BUNCH,142_girardprototakanan
toburn,burn,2102,BURN,§135_oliveiraprotopanoan
burnsomething,burn (something),141,BURN (SOMETHING),419_girardprototakanan
burning,burning,1428,BURNING,
bury,bury,1719,BURY,"§209a_oliveiraprotopanoan, 327_girardprototakanan"
monte,bush,1683,BUSH,218_girardprototakanan
butterfly,butterfly,1791,BUTTERFLY,"376_girardprototakanan, 86_girardprotopanotakanan"
buttocks,buttocks,834,BUTTOCKS,
buy,buy,1869,BUY,
caiman,caiman,2438,CAIMAN,§170_oliveiraprotopanoan
calf,calf,1989,CALF,§487_oliveiraprotopanoan
call,call,1084,CALL,"§151_oliveiraprotopanoan, 173_girardprototakanan"
canoe,canoe,1970,CANOE,"§294_oliveiraprotopanoan, 231_girardprototakanan"
cabybara,capybara,314,CAPYBARA,"§3_oliveiraprotopanoan, 504_girardprototakanan"
carry,carry,700,CARRY,"1_girardprototakanan, 147_girardprototakanan"
cassava,cassava,925,CASSAVA,"§2_oliveiraprotopanoan, 237_girardprototakanan"
cat,cat,1208,CAT,
tocatch,catch,702,CATCH,§87_oliveiraprotopanoan
centro,center,491,CENTER,425_girardprototakanan
centerormiddle,center or middle,3208,CENTER OR MIDDLE,326_girardprototakanan
