ID	Concept	Concepticon_Gloss	Concepticon_ID	Proto_ID
tocount	to count	COUNT	1420	
1stsgi	1st sg 'i'			
2ndsgyou	2nd sg 'you'			
3rapersona	3ra persona			431_girardprototakanan
abandonedfield	abandoned field			§267_oliveiraprotopanoan
abejamiel	abeja,miel			468_girardprototakanan
abejo	abejo			462_girardprototakanan
above	above	ABOVE	1741	§214_oliveiraprotopanoan, 55_girardprototakanan
absolutiveprefix	absolutive prefix			149_girardprototakanan
acompanar	accompany	ACCOMPANY	1542	342_girardprototakanan
achiote	achiote	ACHIOTE	349	§227_oliveiraprotopanoan, 258_girardprototakanan, 67_girardprotopanotakanan
acomodar	acomodar			49_girardprototakanan
adamsapple	adam's apple	ADAM'S APPLE	802	§457_oliveiraprotopanoan
adjectivesuffix	adjective suffix			283_girardprototakanan
adjectivizingsuffix	adjectivizing suffix			127_girardprototakanan
despues	after	AFTER	1685	396_girardprototakanan
afternoon	afternoon	AFTERNOON	1807	§497_oliveiraprotopanoan
agentnominalizersuffix	agent nominalizer suffix			209_girardprototakanan
cutiaspeciesofrodent	agouti	AGOUTI	313	§223_oliveiraprotopanoan
agualluviario	agua,lluvia,río			305_girardprototakanan
ajoajo	ajoajo			32_girardprototakanan
alcoholfermenteddrink	alcohol (fermented drink)	ALCOHOL (FERMENTED DRINK)	404	
all	all	ALL	98	
alligator	alligator	ALLIGATOR	1581	270_girardprototakanan
almendro	almendro			304_girardprototakanan
amber	amber			§114_oliveiraprotopanoan
animaespiritucorazon	anima,espíritu,corazón			318_girardprototakanan
animal	animal	ANIMAL	619	§501_oliveiraprotopanoan
ankle	ankle	ANKLE	803	§345_oliveiraprotopanoan
avisar	announce	ANNOUNCE	9	243_girardprototakanan
ant	ant	ANT	587	163_girardprototakanan, 27_girardprotopanotakanan
anteater	anteater	ANTEATER	181	§392_oliveiraprotopanoan
approach	approach	APPROACH	1778	
arm	arm	ARM	1673	§348_oliveiraprotopanoan, 29_girardprototakanan, 87_girardprotopanotakanan
armpit	armpit	ARMPIT	1886	306_girardprototakanan
aro	aro			123_girardprototakanan
arrancardesplumar	arrancar,desplumar			296_girardprototakanan
arrive	arrive	ARRIVE	1387	§296_oliveiraprotopanoan
arrow	arrow	ARROW	977	§328_oliveiraprotopanoan, 348_girardprototakanan, 84_girardprotopanotakanan
ash	ash	ASH	646	§198_oliveiraprotopanoan, 298_girardprototakanan
tobeashamedtofeelashamed	ashamed	ASHAMED	1894	§353_oliveiraprotopanoan
askinquire	ask (inquire)	ASK (INQUIRE)	1309	§505_oliveiraprotopanoan
askrequest	ask (request)	ASK (REQUEST)	1828	40_girardprototakanan
asomar	asomar			238_girardprototakanan
asi	así			442_girardprototakanan
atoppeak	atop, peak			§228_oliveiraprotopanoan
atorar	atorar			108_girardprototakanan
atrasdespues	atrás,después			421_girardprototakanan
augmentative	augmentative			
augmentativesuffix	augmentative suffix			330_girardprototakanan, 81_girardprotopanotakanan
tia	aunt	AUNT	1272	314_girardprototakanan
authority	authority	AUTHORITY	1637	467_girardprototakanan
avispopeto	avispo,peto			70_girardprototakanan
axe	axe	AXE	677	§495_oliveiraprotopanoan
baby	baby	BABY	1289	
back	back	BACK	1291	§160_oliveiraprotopanoan, 29_girardprototakanan
backbodypartprefix	back (body-part prefix)			§175_oliveiraprotopanoan
backpart	back (part)	BACK (PART)	2323	§127_oliveiraprotopanoan
bad	bad	BAD	1292	68_girardprotopanotakanan
bambu	bamboo	BAMBOO	1927	340_girardprototakanan
reedbamboousedformakingarrows	reed, bamboo used for making arrows			§451_oliveiraprotopanoan, 108_girardprotopanotakanan
plantadeplatano	banana tree	BANANA TREE	1795	200_girardprototakanan
banda	banda			485_girardprototakanan
bark	bark	BARK	1204	
barkoftreeskin	bark of tree, skin			§395_oliveiraprotopanoan
barrigaintestinos	barriga,intestinos			497_girardprototakanan
basket	basket	BASKET	1539	194_girardprototakanan
bat	bat	BAT	1793	§193_oliveiraprotopanoan, 69_girardprototakanan
bathe	bathe	BATHE	138	§262_oliveiraprotopanoan, 305_girardprototakanan
vivo	be alive	BE ALIVE	1422	159_girardprototakanan
beborn	be born	BE BORN	1090	
besilent	be silent	BE SILENT	48	
beard	beard	BEARD	678	§158_oliveiraprotopanoan, 243_girardprototakanan
because	because	BECAUSE	1157	
becomeangry	become angry	BECOME ANGRY	2215	
bee	bee	BEE	665	22_girardprototakanan
beewax	beeswax	BEESWAX	1931	§101_oliveiraprotopanoan
behind	behind	BEHIND	1686	421_girardprototakanan
bejuco	bejuco			223_girardprototakanan
creer	believe	BELIEVE	1890	210_girardprototakanan
belly	belly	BELLY	1251	256_girardprototakanan, 432_girardprototakanan
beloworunder	below or under	BELOW OR UNDER	1485	§257_oliveiraprotopanoan
belt	belt	BELT	772	
bend	bend	BEND	2004	
benefactive	benefactive			§418_oliveiraprotopanoan
between	between	BETWEEN	689	
beverage	beverage	BEVERAGE	731	
bibosiarbol	bibosi (árbol)			263_girardprototakanan
big	big	BIG	1202	§12_oliveiraprotopanoan, 2_girardprotopanotakanan, 13_girardprotopanotakanan
bird	bird	BIRD	937	
bite	bite	BITE	1403	§264_oliveiraprotopanoan, 119_girardprototakanan
bitter	bitter	BITTER	887	332_girardprototakanan
black	black	BLACK	163	§488_oliveiraprotopanoan, 499_girardprototakanan
blackmonkey	black monkey			§25_oliveiraprotopanoan
blanket	blanket	BLANKET	806	
blood	blood	BLOOD	946	§140_oliveiraprotopanoan, 11_girardprototakanan, 48_girardprotopanotakanan
bloom	bloom	BLOOM	3287	
blowofwind	blow (of wind)	BLOW (OF WIND)	175	479_girardprototakanan
blowgun	blowgun	BLOWGUN	432	§453_oliveiraprotopanoan
blue	blue	BLUE	837	
azulverde	blue or green	BLUE OR GREEN	2382	494_girardprototakanan
body	body	BODY	1480	254_girardprototakanan
bofe	bofe			179_girardprototakanan
toboil	boil (of liquid)	BOIL (OF LIQUID)	792	§187_oliveiraprotopanoan
boilsomething	boil (something)	BOIL (SOMETHING)	2492	
bone	bone	BONE	1394	§398_oliveiraprotopanoan, 96_girardprototakanan, 93_girardprotopanotakanan, 100_girardprotopanotakanan
bordunawalkingstick	borduna, walking stick			§485_oliveiraprotopanoan
borogusano	boro,gusano			116_girardprototakanan
bow	bow	BOW	994	§168_oliveiraprotopanoan
bowlplate	bowl, plate			§177_oliveiraprotopanoan
boy	boy	BOY	1366	
brain	brain	BRAIN	1583	
branchoftree	branch	BRANCH	1531	§321_oliveiraprotopanoan
ramagajo	branch or twig	BRANCH OR TWIG	3223	484_girardprototakanan
branchesthathangintotheriver	branches that hang into the river			§450_oliveiraprotopanoan
brave	brave	BRAVE	3	§381_oliveiraprotopanoan
cedrelaodorata	brazilian cedar	BRAZILIAN CEDAR	3929	§199_oliveiraprotopanoan
breakdestroyorgetdestroyed	break (destroy or get destroyed)	BREAK (DESTROY OR GET DESTROYED)	680	§452_oliveiraprotopanoan, 109_girardprotopanotakanan
breast	breast	BREAST	1402	6_girardprototakanan
breastsmilk	breast or milk	BREAST OR MILK	2129	§429_oliveiraprotopanoan
breathe	breathe	BREATHE	1407	§300_oliveiraprotopanoan
breedingdomesticanimal	breeding, domestic animal			§19_oliveiraprotopanoan
breeze	breeze			§275_oliveiraprotopanoan
bridge	bridge	BRIDGE	1011	§443_oliveiraprotopanoan
bright	bright	BRIGHT	679	
bring	bring	BRING	692	53_girardprototakanan, 24_girardprotopanotakanan
hermano	brother	BROTHER	1262	320_girardprototakanan
cunado	brother-in-law	BROTHER-IN-LAW	2314	178_girardprototakanan
brujahechicero	bruja,hechicero			276_girardprototakanan
brujodios	brujo,dios			143_girardprototakanan
buitrenegro	buitre negro			56_girardprototakanan
racimo	bunch	BUNCH	1966	142_girardprototakanan
toburn	burn	BURN	2102	§135_oliveiraprotopanoan
burnsomething	burn (something)	BURN (SOMETHING)	141	419_girardprototakanan
burning	burning	BURNING	1428	
bury	bury	BURY	1719	§209a_oliveiraprotopanoan, 327_girardprototakanan
monte	bush	BUSH	1683	218_girardprototakanan
butterfly	butterfly	BUTTERFLY	1791	376_girardprototakanan, 86_girardprotopanotakanan
buttocks	buttocks	BUTTOCKS	834	
buy	buy	BUY	1869	
caiman	caiman	CAIMAN	2438	§170_oliveiraprotopanoan
caituhilohechoencasa	caitu (hilo hecho en casa)			277_girardprototakanan
calabaceragrandeinsecto	calabacera grande (insecto)			407_girardprototakanan
calf	calf	CALF	1989	§487_oliveiraprotopanoan
calientecocinar	caliente,cocinar			392_girardprototakanan
call	call	CALL	1084	§151_oliveiraprotopanoan, 173_girardprototakanan
wildturkeyspcampanillo	wild turkey sp. (campanillo)			221_girardprototakanan, 57_girardprotopanotakanan
canoe	canoe	CANOE	1970	§294_oliveiraprotopanoan, 231_girardprototakanan
canoso	canoso			226_girardprototakanan
cabybara	capybara	CAPYBARA	314	§3_oliveiraprotopanoan, 504_girardprototakanan
caricari	caricari			46_girardprototakanan
carino	cariño			157_girardprototakanan
carpir	carpir			334_girardprototakanan
carry	carry	CARRY	700	1_girardprototakanan, 147_girardprototakanan
cassava	cassava	CASSAVA	925	§2_oliveiraprotopanoan, 237_girardprototakanan
cat	cat	CAT	1208	
tocatch	catch	CATCH	702	§87_oliveiraprotopanoan
causative	causative			
causativesuffix	causative suffix			289_girardprototakanan
cayapobalsa	cayapo,balsa			341_girardprototakanan
cedro	cedro			34_girardprototakanan
celar	celar			291_girardprototakanan
centro	center	CENTER	491	425_girardprototakanan
centerormiddle	center or middle	CENTER OR MIDDLE	3208	326_girardprototakanan
ciempies	centipede	CENTIPEDE	1974	324_girardprototakanan
centipedescorpion	centipede, scorpion			§276_oliveiraprotopanoan
cernerpunzar	cerner,punzar			490_girardprototakanan
chaco	chaco			418_girardprototakanan
chair	chair	CHAIR	1476	
