Name	ID	Glottocode	Dataset	Subgroup
Amawaka	amawaka	amah1246	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Araona	araona	arao1248	blumpanotacana, girardprototakanan, valenzuelazariquieypanotakana	Tacana
Arasa	arasa	araz1236	girardprototakanan, valenzuelazariquieypanotakana	Tacana
Cavineña	cavinena	cavi1250	blumpanotacana, girardprototakanan, valenzuelazariquieypanotakana	Tacana
Chákobo	chakobo	chac1251	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Chama	chama	cham1314	valenzuelazariquieypanotakana	Pano
Chanináwa	chaninawa	shan1283	oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Ese Ejja	eseejja	esee1248	blumpanotacana, girardprototakanan, valenzuelazariquieypanotakana	Tacana
Iskonawa	iskonawa	isco1239	blumpanotacana	Pano
Kakataibo	kakataibo	cash1251	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Kapanawa	kapanawa	capa1241	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Kashararí	kasharari	kaxa1239	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Kashibo	kashibo	cash1252	blumpanotacana	Pano
Katukina	katukina	pano1254	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Kaxinawá	kaxinawa	cash1254	oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Korúbo	korubo	koru1247	oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Mabenaro	mabenaro	mabe1235	girardprototakanan, valenzuelazariquieypanotakana	Pano
Marináwa	marinawa	mari1443	oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Marúbo	marubo	maru1252	oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Matís	matis	mati1255	oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Matses	matses	mats1244	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Poyanáwa	poyanawa	poya1241	oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Proto-Panoan	protopanoan	pano1256	oliveiraprotopanoan, valenzuelazariquieypanotakana, girardprotopanotakanan	Pano
Proto-Pano-Takana	protopanotakana	pano1259	valenzuelazariquieypanotakana, girardprotopanotakanan	Proto
Proto-Takana	prototakana	taca1255	girardprototakanan, girardprotopanotakanan	Tacana
Sharanawa	sharanawa	shar1245	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Shipibo-Konibo	shipibokonibo	ship1254	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Tacana	tacana	taca1256	blumpanotacana, girardprototakanan, valenzuelazariquieypanotakana	Tacana
Warayo	warayo	guar1292	valenzuelazariquieypanotakana	Tacana
Warisa	warisa	reye1240	girardprototakanan, valenzuelazariquieypanotakana	Tacana
Yaminawa	yaminawa	yami1256	blumpanotacana, oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
Yawanawá	yawanawa	yawa1260	oliveiraprotopanoan, valenzuelazariquieypanotakana	Pano
