Name	ID	Glottocode	Dataset
Ese Ejja	EseEjja	esee1248	blumpanotacana
Ese Ejja (Huarayo)	HuarayoEseEjja	esee1248	blumpanotacana
Kashibo	Cashibo	cash1251	blumpanotacana
Katukina	Kat	pano1254	valenzuelazariquieypanotakana
Shipibo-Konibo	ShipiboConibo	ship1254	blumpanotacana
Yaminawa	Yam	yami1256	valenzuelazariquieypanotakana
Amawaka	Ama	amah1246	valenzuelazariquieypanotakana
Kapanawa	Kap	capa1241	valenzuelazariquieypanotakana
Matses	MatMay	mats1244	valenzuelazariquieypanotakana
Sharanawa	Shar	shar1245	valenzuelazariquieypanotakana
Kakataibo	Ksh	cash1251	valenzuelazariquieypanotakana
Iskonawa	Isconahua	isco1239	blumpanotacana
Tacana	Tacana	taca1256	blumpanotacana
Chákobo	Chakobo	chac1251	oliveiraprotopanoan
Araona	Aro	arao1248	valenzuelazariquieypanotakana
Cavineña	Cavinena	cavi1250	blumpanotacana
Kashararí	Kaxarari	kaxa1239	blumpanotacana
ShipiboKonibo	SK	ship1254	valenzuelazariquieypanotakana
Marúbo	Marubo	maru1252	oliveiraprotopanoan
Kaxararí	Kaxarari	kaxa1239	oliveiraprotopanoan
Yamináwa	Yaminawa	yami1256	oliveiraprotopanoan
Chanináwa	Chaninawa	shan1283	oliveiraprotopanoan
Sharanáwa	Sharanawa	shar1245	oliveiraprotopanoan
Amawáka	Amawaka	amah1246	oliveiraprotopanoan
Kaxinawá	Kaxinawa	cash1254	oliveiraprotopanoan
Marináwa	Marinawa	mari1443	oliveiraprotopanoan
Korúbo	Korubo	koru1247	oliveiraprotopanoan
Matís	Matis	mati1255	oliveiraprotopanoan
Mayorúna	Mayoruna	mats1244	oliveiraprotopanoan
Shanenáwa	Shanenawa	shan1283	oliveiraprotopanoan
Poyanáwa	Poyanawa	poya1241	oliveiraprotopanoan
Yawanawá	Yawanawa	yawa1260	oliveiraprotopanoan
ProtoTakana	ProtoTakana	taca1255	girardprototakanan
Takana	Tacana	taca1256	girardprototakanan
Warisa	Guariza	reye1240	girardprototakanan
Kavineño	Cavinena	cavi1250	girardprototakanan
Ese?exa	EseEjja	esee1248	girardprototakanan
Warayo	Huarayo	esee1248	girardprototakanan
Reyesano	ReyMar	reye1240	valenzuelazariquieypanotakana
Maropa	Maropa	reye1240	girardprototakanan
Mabenaro	Mab	mabe1235	valenzuelazariquieypanotakana
Arasa	Ara	araz1236	valenzuelazariquieypanotakana
Sapibokona	Sap	reye1240	valenzuelazariquieypanotakana
Tiatinawa	Tiatinahua	esee1248	girardprototakanan
Čama (Firestone)	Chama	esee1248	girardprototakanan
Proto-Pano-Takana	ProPaTa	pano1259	valenzuelazariquieypanotakana
Marubo	Mar	maru1252	valenzuelazariquieypanotakana
Chacobo	Chak	chac1251	valenzuelazariquieypanotakana
Kaxarari	Kax	kaxa1239	valenzuelazariquieypanotakana
Chaninawa	Chan	shan1283	valenzuelazariquieypanotakana
Shanenawa	Shan	shan1283	valenzuelazariquieypanotakana
Poyanawa	Poy	poya1241	valenzuelazariquieypanotakana
Kaxinawa	HanKax	cash1254	valenzuelazariquieypanotakana
Marinawa	Maw	mari1443	valenzuelazariquieypanotakana
Korubo	Kor	koru1247	valenzuelazariquieypanotakana
Yawanawa	Yaw	yawa1260	valenzuelazariquieypanotakana
Matis	Mat	mati1255	valenzuelazariquieypanotakana
Tacanan	Tac	taca1256	valenzuelazariquieypanotakana
Cavinena	Cav	cavi1250	valenzuelazariquieypanotakana
EseEjja	Ese	esee1248	valenzuelazariquieypanotakana
Chama	Cham	cham1314	valenzuelazariquieypanotakana
